id,title,author,price,idEditorial
137,Ara chloroptera,Ab Thurston,3172.45,4
364,Mellivora capensis,Adina Sexty,1596.28,4
179,Alectura lathami,Agosto Housecroft,1590.97,4
241,Leipoa ocellata,Alec Kyne,3676.45,4
380,Castor canadensis,Alfy Geerdts,979.93,4
272,Ceratotherium simum,Angel Jenoure,4392.62,4
407,Rhea americana,Archaimbaud Veysey,2058.69,4
356,Lemur catta,Ardelis Lauks,4859.66,4
349,Actophilornis africanus,Aurelia Petre,2268.22,4
326,Anastomus oscitans,Bayard Cowperthwaite,4769.01,4
227,Platalea leucordia,Benedikta Lyddon,4431.76,4
140,Semnopithecus entellus,Bernice Dalston,1678.54,4
125,Plocepasser mahali,Bibbye Matus,499.04,4
483,Ploceus rubiginosus,Byrom Norley,580.92,4
135,Coluber constrictor,Catlee McFeate,4772.54,4
193,Threskionis aethiopicus,Charil Bagger,2852.66,4
282,Sula nebouxii,Chase Phidgin,4859.77,4
287,Anastomus oscitans,Claretta Codner,896.86,4
496,Echimys chrysurus,Cullen McKinnon,4792.36,4
77,Speotyte cuniculata,Diana Richten,1384.81,4
171,Ovis dalli stonei,Dodie Farrow,4374.41,4
340,Gazella thompsonii,Ellynn Rothermel,3691.47,4
118,Cebus apella,Emelita Klug,1708.05,4
492,Corvus brachyrhynchos,Ewan Charsley,568.23,4
390,Phoenicopterus ruber,Felecia Luffman,764.93,4
50,Ara chloroptera,Flint Clamo,2943.22,4
339,Felis yagouaroundi,Gabriel Danilovitch,3216.00,4
7,Diomedea irrorata,Gillie Linge,3772.31,4
303,Ninox superciliaris,Greta Gouthier,1891.11,4
404,Castor fiber,Had Gadson,811.06,4
162,Nannopterum harrisi,Helenelizabeth Tod,4216.76,4
205,Ploceus rubiginosus,Hirsch Dafter,922.63,4
358,Herpestes javanicus,Hunt Hawkings,3078.87,4
159,Canis mesomelas,Iago Yanele,1094.93,4
226,Corvus albicollis,Inger Sirmond,1339.38,4
415,Felis wiedi or Leopardus weidi,Ivett Gionettitti,4727.81,4
454,Litrocranius walleri,Jacky Larkings,1352.90,4
292,Priodontes maximus,Jada Mocher,1742.18,4
246,Acrantophis madagascariensis,Jareb Shury,4699.10,4
237,Butorides striatus,Jennee Derrell,2154.56,4
79,Varanus salvator,Jobi Kovnot,2499.71,4
320,Phoenicopterus ruber,Kynthia Braybrooks,2663.07,4
396,Castor fiber,Lefty Backen,1513.60,4
368,Columba palumbus,Leonidas Brewin,3053.56,4
422,Vulpes chama,Lindie Glasscoo,3770.84,4
252,Mabuya spilogaster,Lotte Springate,2534.67,4
47,Cebus nigrivittatus,Loydie Llewellyn,2833.02,4
72,unavailable,Maurise Shrigley,4070.12,4
217,Acrobates pygmaeus,Maxim Peatheyjohns,2872.90,4
218,Boa caninus,Meredeth Raggett,3017.77,4
498,Kobus defassa,Michal Bullas,1155.12,4
439,Terrapene carolina,Molli Conichie,1343.56,4
348,Streptopelia decipiens,Neal Have,1591.33,4
285,Centrocercus urophasianus,Nicolea Joskovitch,4454.38,4
19,Pytilia melba,Norbie Kimblen,492.11,4
212,Cebus apella,Normie Boarer,2831.22,4
330,Limosa haemastica,Olag Phinnis,630.89,4
30,unavailable,Perri Bowld,1124.47,4
76,Martes americana,Philbert Rutgers,688.69,4
387,Choloepus hoffmani,Philip Scotchmore,1431.99,4
33,Crocuta crocuta,Putnem Buckbee,4113.25,4
154,Spheniscus magellanicus,Reid Juzek,4470.35,4
244,Felis concolor,Rickie Nester,4068.00,4
85,Eurocephalus anguitimens,Rozanna Smallpiece,709.52,4
190,Branta canadensis,Salmon Exon,4106.26,4
4,Uraeginthus angolensis,Sandy Hacquel,4087.62,4
184,Plocepasser mahali,Sol Ropkes,1582.39,4
255,Phoenicopterus ruber,Sophia Hurndall,1927.95,4
61,Lutra canadensis,Stanislaus Lafrentz,3574.03,4
319,Ciconia ciconia,Taber Cannan,1116.63,4
283,Macaca mulatta,Tally Yurkov,2088.99,4
345,Buteo jamaicensis,Tasha Tarquinio,2462.14,4
251,Actophilornis africanus,Teriann Moorerud,4773.35,4
60,Crotalus cerastes,Terri Itschakov,2633.58,4
334,Gyps bengalensis,Theodore Terrington,787.18,4
44,Sarkidornis melanotos,Thomasin Bartalucci,3455.86,4
51,Ursus americanus,Tildie MacIlwrick,3624.81,4
256,Gymnorhina tibicen,Trix Flawith,4359.29,4
102,Pituophis melanaleucus,Vanya Pawelke,1861.48,4
73,Butorides striatus,Vassili A'Barrow,4305.64,4
236,Gymnorhina tibicen,Vito Labusch,1236.08,4
24,Sarkidornis melanotos,Wallace McNeigh,895.73,4
150,Haliaetus vocifer,Windy Saiens,3099.47,4
433,Laniarius ferrugineus,Wylie Cainey,432.87,4
