id,title,author,price,idEditorial
1,Phoca vitulina,Tracee Putley,1322.05,6
2,Cervus duvauceli,Nehemiah Burlay,4281.85,3
3,Stercorarius longicausus,Melantha Sorro,2238.87,1
4,Uraeginthus angolensis,Sandy Hacquel,4087.62,4
5,Speotyte cuniculata,Dalt Thumann,795.12,2
6,Tamiasciurus hudsonicus,Bron Fiddler,2180.24,3
7,Diomedea irrorata,Gillie Linge,3772.31,4
8,Acrantophis madagascariensis,Crosby Brearty,4021.25,3
9,Tadorna tadorna,Currie Ondra,1554.93,1
10,Genetta genetta,Gabi Haddleton,1666.45,6
11,Pavo cristatus,Orson Gifford,1146.2,1
12,Agelaius phoeniceus,Clarita Arson,4479.25,6
13,Ploceus intermedius,Ringo Bucktrout,3052.64,5
14,Corallus hortulanus cooki,Marina Rayson,732.29,5
15,Neophron percnopterus,Gabriellia Preshaw,4417.03,2
16,Ciconia ciconia,Jorrie Othen,4122.51,5
17,Motacilla aguimp,Orelia Baraclough,1872.96,1
18,Anastomus oscitans,Brinn Havvock,3239.2,3
19,Pytilia melba,Norbie Kimblen,492.11,4
20,Aonyx cinerea,Allis Tomashov,2111.3,6
21,Cyrtodactylus louisiadensis,Sibelle Olyunin,712.76,6
22,Felis silvestris lybica,Annabel Hickisson,1791.4,3
23,Cervus canadensis,Jarid Giotto,2584.36,1
24,Sarkidornis melanotos,Wallace McNeigh,895.73,4
25,Dendrohyrax brucel,Pandora Deverale,2620.98,5
26,Acrobates pygmaeus,Ozzie Silvers,4774.78,3
27,Microcebus murinus,Lynna Yanuk,1110.35,2
28,Leptoptilus dubius,Mose Faithfull,3959.42,2
29,Felis yagouaroundi,Brietta Josskowitz,1453.96,2
30,unavailable,Perri Bowld,1124.47,4
31,Xerus sp.,Travis Wand,3433.6,1
32,Cacatua galerita,Erastus Sawart,3566.34,6
33,Crocuta crocuta,Putnem Buckbee,4113.25,4
34,unavailable,Tobe Sproul,4817.35,6
35,Bettongia penicillata,Georgeanne Balentyne,624.95,1
36,Ctenophorus ornatus,Roseanne Stellman,2821.27,1
37,Bettongia penicillata,Murdock Duffan,1052.76,6
38,Petaurus norfolcensis,Levon Seares,4212.22,1
39,Phalacrocorax carbo,Mata Terbeek,2976.57,3
40,Charadrius tricollaris,Netta Lacroix,4936.36,1
41,Chauna torquata,Gretchen Schiesterl,4487.72,2
42,Libellula quadrimaculata,Zollie Dauney,4012.16,6
43,Megaderma spasma,Ezekiel Baccus,4461.21,1
44,Sarkidornis melanotos,Thomasin Bartalucci,3455.86,4
45,Ursus maritimus,Gabrila Lyford,781.65,2
46,Galago crassicaudataus,Correna Micheau,789.34,3
47,Cebus nigrivittatus,Loydie Llewellyn,2833.02,4
48,Suricata suricatta,Merilee Busfield,1733.21,6
49,Phalacrocorax albiventer,Morgan Worgan,4286.16,1
50,Ara chloroptera,Flint Clamo,2943.22,4
51,Ursus americanus,Tildie MacIlwrick,3624.81,4
52,Pelecans onocratalus,Franchot Cano,2562.82,2
53,Genetta genetta,Flore Grainge,3335.8,5
54,Pseudoleistes virescens,Broderic Josifovic,1962.72,6
55,Haliaetus vocifer,Cinnamon Matthews,1347.53,2
56,Felis rufus,Judd Hugonneau,4503.06,5
57,Laniaurius atrococcineus,Stevie Maben,2997.2,5
58,Otocyon megalotis,Merilee Ubsdell,3562.31,3
59,Casmerodius albus,Dorine Mannix,3870.35,6
60,Crotalus cerastes,Terri Itschakov,2633.58,4
61,Lutra canadensis,Stanislaus Lafrentz,3574.03,4
62,Spheniscus mendiculus,Traci Barford,1763.71,1
63,Columba palumbus,Audrey McRuvie,4810.25,5
64,Grus canadensis,Munmro Branscomb,2536.54,5
65,Myrmecophaga tridactyla,Astrid Ropcke,2588.97,3
66,Ara chloroptera,Christine Luesley,2119.49,3
67,Herpestes javanicus,Lane Agar,583.36,5
68,Larus dominicanus,Haskel Vuittet,1261.0,2
69,Varanus sp.,Chanda Gibbie,2907.75,3
70,Genetta genetta,Tobit Hallowes,1154.91,1
71,Pycnonotus nigricans,Eduino Pencot,3042.38,3
72,unavailable,Maurise Shrigley,4070.12,4
73,Butorides striatus,Vassili A'Barrow,4305.64,4
74,Petaurus norfolcensis,Terry Klambt,4071.15,3
75,Coendou prehensilis,Almeta Rupprecht,817.47,2
76,Martes americana,Philbert Rutgers,688.69,4
77,Speotyte cuniculata,Diana Richten,1384.81,4
78,Panthera leo persica,Rosaleen Lightbowne,4649.55,3
79,Varanus salvator,Jobi Kovnot,2499.71,4
80,Casmerodius albus,Antons Mathiassen,2627.36,6
81,Macropus agilis,Kent Lorans,1127.15,5
82,Ictonyx striatus,Syman MacAne,1004.89,3
83,Phalaropus fulicarius,Candace Carletto,3029.46,3
84,Corvus brachyrhynchos,Cherilyn Olney,899.89,6
85,Eurocephalus anguitimens,Rozanna Smallpiece,709.52,4
86,Coendou prehensilis,Marketa Morant,536.29,3
87,Felis wiedi or Leopardus weidi,Elton Batiste,3601.03,5
88,Neotis denhami,Stacey Arsey,3125.09,5
89,Ardea golieth,Shay Hatton,438.64,2
90,Anser caerulescens,Allys Collett,537.74,6
91,Grus canadensis,Donella Bruford,968.04,6
92,Macropus giganteus,Aloisia Gellier,537.72,1
93,Pelecanus conspicillatus,Prentiss Shevill,1890.72,1
94,Phascolarctos cinereus,Waverly Tubble,690.32,3
95,Nectarinia chalybea,Perren Dils,1303.85,5
96,Laniarius ferrugineus,Jorry Grigorian,1682.76,1
97,Eremophila alpestris,Emera Swindall,4994.03,6
98,Butorides striatus,Mar Raecroft,2956.62,1
99,Echimys chrysurus,Bari Abrahm,4426.11,5
100,Phalaropus fulicarius,Maxim Kubu,422.8,2
101,Coluber constrictor,Alicia Gladdish,2335.24,3
102,Pituophis melanaleucus,Vanya Pawelke,1861.48,4
103,Cacatua tenuirostris,Nadean Caughan,4813.48,3
104,Phalacrocorax brasilianus,Valerie Overton,2315.25,5
105,Recurvirostra avosetta,Lin Corey,960.89,5
106,Buteo regalis,Marvin Adin,4294.88,2
107,Caiman crocodilus,Sisile Giacoppo,3686.22,1
108,Chordeiles minor,Donnajean Genner,688.78,1
109,Picoides pubescens,Irvin Hundal,2867.46,5
110,Meles meles,Natasha Scolts,1491.06,6
111,Pteronura brasiliensis,Elysee Druery,3041.38,6
112,Crotalus cerastes,Pauletta Michel,1649.18,2
113,Canis lupus lycaon,Tab Faiers,4827.36,1
114,Raphicerus campestris,Neysa Speke,3917.77,6
115,Damaliscus dorcas,Connie Limbrick,1162.86,1
116,Felis serval,Moise Donner,2331.36,3
117,Canis aureus,Johny Gartan,1732.17,3
118,Cebus apella,Emelita Klug,1708.05,4
